Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
24/08/2020;16:02:06.740;4.7;100;0.92;42;4.16;12.49;0.8;0.0;11;0.0;0.60;0.02;0.02;2054;1712;0;39.5;1.0;47.767755;-3.506281;7;-1024;3;-135;-190;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:02:09.130;4.7;100;0.92;42;4.16;12.49;0.9;0.0;11;0.0;0.90;-0.36;-0.11;1487;1712;0;39.4;0.1;47.767748;-3.506281;9;-1024;3;-135;-190;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:02:10.120;4.7;100;0.93;42;4.16;12.49;0.9;0.0;11;0.0;1.00;-0.28;-0.06;1487;1814;0;39.2;0.2;47.767748;-3.506281;9;-1024;3;-135;-193;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:02:11.120;4.7;98;0.93;42;4.16;12.49;0.9;0.0;12;0.0;1.20;-0.25;-0.11;1487;1814;0;36.9;0.1;47.767756;-3.506283;9;-1024;3;-135;-193;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:02:58.970;4.7;100;0.98;42;4.15;12.47;0.8;0.0;23;0.0;2.10;0.13;0.00;1422;1815;0;31.2;0.7;47.767790;-3.506238;9;-1024;3;-135;-190;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:02:59.970;4.7;100;0.96;42;4.15;12.47;0.8;0.0;23;0.0;2.10;0.13;0.03;1422;1815;0;31.3;0.3;47.767790;-3.506236;9;-1024;3;-135;-193;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:03:00.970;4.7;100;0.94;42;4.15;12.47;0.9;0.0;24;0.0;2.10;0.14;0.03;1422;1815;0;31.4;0.1;47.767790;-3.506236;9;-781;3;-135;-193;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:49.860;4.7;100;0.93;42;4.14;12.42;0.8;0.0;50;0.0;0.70;0.13;0.00;848;1816;0;16.0;0.4;47.767848;-3.506301;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:50.850;4.7;100;0.86;42;4.14;12.42;0.8;0.0;50;0.0;0.70;0.44;0.04;848;1817;0;16.2;0.2;47.767848;-3.506301;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:51.850;4.7;100;0.65;42;4.14;12.42;0.8;0.0;50;0.0;0.70;0.67;-0.13;848;1817;0;16.2;0.2;47.767850;-3.506300;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:52.850;4.7;100;0.73;42;4.14;12.42;0.8;0.0;50;0.0;0.50;0.65;-0.07;848;1817;0;16.3;0.2;47.767850;-3.506300;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:53.850;4.7;100;0.81;42;4.13;12.42;0.8;0.0;51;0.0;0.60;0.60;-0.02;848;1817;0;16.3;0.3;47.767850;-3.506300;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:54.850;4.7;100;0.95;42;4.14;12.42;0.8;0.0;51;0.0;1.00;0.16;0.03;848;1817;0;16.3;0.3;47.767850;-3.506300;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:04:55.850;4.7;100;1.00;42;4.14;12.42;0.8;0.0;51;0.0;1.20;0.07;-0.02;848;1817;0;16.3;0.1;47.767848;-3.506300;9;-1024;3;-138;-274;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:04.110;4.7;100;0.56;42;4.13;12.41;0.8;0.0;53;0.0;0.40;0.82;-0.09;848;1817;0;16.4;0.0;47.767853;-3.506298;9;-1024;3;-135;-274;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:05.100;4.7;100;0.63;42;4.13;12.41;0.8;0.0;53;0.0;0.40;0.74;-0.07;848;1816;0;16.3;0.2;47.767851;-3.506296;9;-1024;3;-138;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:06.860;4.7;100;0.60;42;4.13;12.41;0.8;0.0;54;0.0;1.10;0.78;-0.02;848;1817;0;15.6;0.3;47.767848;-3.506296;9;-1024;3;-138;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:07.900;4.7;100;0.63;42;4.13;12.41;0.8;0.0;54;0.0;1.40;0.76;-0.04;848;1817;0;15.1;0.2;47.767846;-3.506296;9;-1024;3;-135;-274;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:08.900;4.7;100;0.64;42;4.13;12.41;0.8;0.0;54;0.0;1.70;0.75;-0.03;848;1817;0;14.5;0.1;47.767845;-3.506296;9;-1024;3;-135;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:12.160;4.7;100;0.75;42;4.13;12.41;0.8;0.0;55;0.0;2.20;0.63;-0.13;848;1817;0;13.8;0.1;47.767841;-3.506295;9;-1024;3;-138;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:13.200;4.7;100;0.74;42;4.13;12.41;0.8;0.0;55;0.0;1.40;0.65;-0.13;848;1817;0;13.6;0.2;47.767841;-3.506296;9;-1024;3;-138;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:14.200;4.7;100;0.75;42;4.13;12.41;0.8;0.0;55;0.0;0.90;0.59;-0.13;848;1817;0;13.5;0.1;47.767841;-3.506296;9;-1024;3;-138;-271;-1;-1;1;-1;0x0000000000000002;7.9
24/08/2020;16:05:20.860;4.7;100;0.86;42;4.13;12.41;0.8;0.0;57;0.0;7.80;0.46;-0.01;848;1817;0;12.7;0.5;47.767840;-3.506295;9;-1024;3;-138;-271;-1;-1;1;-1;0x0000000000000002;7.9
