Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
26/08/2020;20:01:55.180;4.7;100;0.99;42;4.08;12.26;0.8;0.0;33;0.0;6.60;0.20;-0.09;3208;1822;0;17.3;0.1;47.767811;-3.506338;9;-1024;3;304;-725;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:01:56.170;4.7;100;1.00;42;4.08;12.26;0.8;0.0;33;0.0;6.60;0.14;-0.10;3208;1821;0;17.3;0.2;47.767811;-3.506336;9;-1024;4;304;-725;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:25.480;4.7;92;0.96;1;4.06;12.19;0.8;0.0;25;0.0;22.40;-0.07;-0.08;3270;3922;0;18.0;0.5;47.767813;-3.506365;11;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:26.490;4.7;88;0.94;5;4.06;12.19;0.8;0.0;25;0.0;18.60;-0.17;-0.04;3270;3922;0;17.9;0.3;47.767815;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:27.490;4.7;90;0.97;5;4.06;12.19;0.8;0.0;25;0.0;21.10;-0.13;0.02;3270;3922;0;18.0;0.1;47.767815;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:28.490;4.7;90;0.98;5;4.06;12.19;0.8;0.0;26;0.0;19.60;-0.13;-0.02;3270;3922;0;18.1;0.1;47.767815;-3.506365;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:29.500;4.7;88;0.98;5;4.06;12.19;0.8;0.0;26;0.0;18.20;-0.16;0.03;3270;3922;0;18.1;0.0;47.767815;-3.506365;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:30.500;4.7;92;0.97;5;4.06;12.19;0.8;0.0;26;0.0;1.10;-0.18;-0.07;3270;3922;0;18.1;0.2;47.767813;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.8
26/08/2020;20:07:31.500;4.7;96;0.97;5;4.06;12.19;0.8;0.0;26;0.0;349.00;-0.14;0.01;3270;3922;0;18.1;0.2;47.767813;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.7
26/08/2020;20:07:32.500;4.7;100;0.96;5;4.06;12.19;0.8;0.0;26;0.0;344.30;-0.20;-0.07;3270;3922;0;18.2;0.0;47.767813;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.7
26/08/2020;20:07:33.500;4.7;100;0.97;5;4.06;12.19;0.8;0.0;27;0.0;348.40;-0.17;-0.07;3270;3922;0;18.3;0.1;47.767813;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.7
26/08/2020;20:07:34.500;4.7;100;0.95;5;4.06;12.19;0.8;0.1;27;0.0;351.70;-0.17;-0.04;3270;3922;0;18.3;0.0;47.767813;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.7
26/08/2020;20:07:35.500;4.7;98;0.95;5;4.06;12.19;0.8;0.1;27;0.0;355.20;-0.24;-0.07;3270;3922;0;18.3;0.1;47.767813;-3.506366;9;-1024;4;304;-835;-1;-1;1;-1;0x0000000000000002;7.7
