Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
18/08/2020;18:50:10.780;4.7;84;0.95;1;4.11;12.36;0.8;0.0;48;0.0;86.80;0.13;0.01;2271;3813;0;53.1;0.2;47.835148;-3.518386;11;-1024;3;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:11.750;4.7;80;0.97;5;4.12;12.36;0.9;0.0;48;0.0;86.20;0.21;-0.01;2271;3813;0;53.1;0.2;47.835150;-3.518386;11;-1024;3;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:12.750;4.7;82;1.07;5;4.11;12.35;0.9;0.1;48;0.0;87.10;0.19;0.07;2271;3813;0;53.1;0.3;47.835150;-3.518388;11;-770;3;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:13.750;4.7;86;0.86;5;4.09;12.26;4.3;0.1;49;0.0;103.40;0.42;0.26;2271;3813;0;53.1;0.6;47.835150;-3.518388;9;27;3;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:14.770;4.7;82;0.92;5;4.02;12.05;10.8;0.3;51;0.2;104.80;0.12;0.13;1935;3813;0;53.0;10.7;47.835135;-3.518395;-152;365;3;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:15.780;4.7;82;0.44;5;4.00;11.99;11.5;1.4;54;4.8;112.20;0.46;0.24;1910;3813;6;53.0;14.0;47.835096;-3.518405;-75;461;4;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:16.780;4.7;100;1.21;5;3.97;11.95;12.7;4.6;57;2.7;154.90;0.37;0.14;1872;3813;14;55.7;37.7;47.835033;-3.518420;-155;601;0;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:17.780;4.7;100;0.35;5;3.96;11.91;13.1;9.8;62;4.1;186.70;0.43;0.02;1960;3813;25;58.0;39.7;47.834900;-3.518446;-34;584;-302;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:18.780;4.7;98;0.80;5;3.95;11.87;13.1;13.1;65;4.8;200.50;0.50;-0.08;2003;3812;35;60.7;42.3;47.834801;-3.518518;-301;602;-42;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:19.780;4.7;96;1.04;5;3.95;11.86;13.0;18.4;68;8.5;188.50;0.38;-0.03;1943;3812;46;64.1;42.0;47.834723;-3.518555;-237;601;-3;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:20.780;4.7;88;0.96;5;3.94;11.83;13.1;25.1;72;7.2;174.70;0.41;-0.08;1692;3812;59;74.7;31.0;47.834640;-3.518558;-72;589;617;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:21.780;4.7;86;1.22;5;3.95;11.86;12.0;32.6;75;6.6;170.60;0.41;-0.03;1525;3813;65;79.9;27.7;47.834583;-3.518521;17;465;-371;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:22.780;4.7;88;0.87;5;3.94;11.82;11.9;36.4;79;4.1;187.10;0.40;-0.05;1764;3812;72;85.2;26.0;47.834491;-3.518498;9;465;314;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:23.780;4.7;86;0.96;5;3.94;11.84;11.9;40.0;82;3.9;184.70;0.40;0.04;1894;3813;78;89.1;25.7;47.834440;-3.518501;-468;471;7;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:24.780;4.7;82;1.05;5;3.93;11.82;11.9;42.9;85;2.5;227.40;0.37;0.01;2316;3813;87;93.2;28.1;47.834381;-3.518551;-384;225;1;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:25.780;4.7;74;1.23;5;3.95;11.87;9.8;44.8;88;0.7;267.80;0.28;0.05;2798;3813;89;94.9;49.0;47.834368;-3.518660;-587;240;6;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:26.780;4.7;68;1.61;5;3.94;11.83;10.9;44.0;92;-1.8;313.80;0.27;0.04;3133;3813;85;93.4;66.4;47.834486;-3.518833;-670;409;-9;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:27.780;4.7;66;2.07;5;3.94;11.84;11.1;42.8;93;-3.0;0.20;0.23;0.03;3539;3712;68;90.0;79.4;47.834560;-3.518930;-546;234;-132;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:28.780;4.7;76;2.01;5;3.95;11.87;9.5;41.5;97;0.0;38.40;0.04;0.02;365;3813;53;89.0;88.8;47.834845;-3.518791;183;47;-346;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
18/08/2020;18:50:29.780;4.7;76;0.83;5;3.96;11.90;8.0;41.3;100;-1.8;43.30;0.03;0.03;450;3813;23;90.3;87.6;47.835035;-3.518516;-198;-74;-12;17;-593;-1;-1;1;-1;0x0000000000000002;7.9
