Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
14/11/2020;07:27:12.090;4.7;100;0.97;1;4.13;12.40;0.8;0.0;29;0.0;19.20;0.14;-0.02;1902;3609;0;22.0;0.2;47.767836;-3.506391;15;-1024;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.8
14/11/2020;07:27:13.100;4.7;100;0.99;15;4.13;12.40;0.8;0.0;29;0.0;29.10;0.12;-0.02;1902;3609;0;22.0;0.4;47.767836;-3.506391;14;-366;4;-1024;233;-1;-1;1;-1;0x0000000000000002;7.8
14/11/2020;07:27:14.130;4.7;100;0.97;15;4.13;12.40;0.8;0.0;29;0.0;30.30;0.04;-0.01;1902;3609;0;22.0;0.3;47.767838;-3.506391;15;27;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:15.160;4.7;100;1.01;15;4.13;12.40;0.8;0.0;29;0.0;38.30;0.07;0.01;1902;3711;0;22.0;0.1;47.767838;-3.506390;15;190;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:16.200;4.7;100;0.98;15;4.13;12.40;0.8;0.1;30;0.1;27.90;0.14;-0.07;1902;3711;0;22.1;0.3;47.767840;-3.506388;15;188;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:17.230;4.7;100;0.97;15;4.13;12.40;0.8;0.2;30;0.0;24.20;0.12;-0.11;1902;3711;0;22.4;0.1;47.767840;-3.506388;14;190;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:18.230;4.7;100;0.97;15;4.13;12.40;0.8;0.3;30;0.0;24.70;0.13;-0.09;1902;3711;0;22.5;0.1;47.767840;-3.506386;15;188;3;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:19.230;4.7;100;1.03;15;4.13;12.40;0.8;0.4;30;0.1;40.20;0.11;0.02;1902;3711;0;22.6;0.2;47.767840;-3.506388;14;190;3;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:20.230;4.7;100;0.93;15;4.13;12.40;0.8;0.4;31;0.0;56.30;0.37;0.15;2608;3711;0;22.7;0.3;47.767843;-3.506386;15;188;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:21.230;4.7;100;0.96;15;4.13;12.40;0.8;0.4;31;0.1;43.90;0.00;0.11;2608;3711;0;22.8;0.5;47.767843;-3.506385;15;188;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:22.230;4.7;100;0.81;15;4.13;12.40;0.8;0.3;31;-0.1;67.70;0.35;0.21;581;3711;0;22.7;3.4;47.767843;-3.506383;14;188;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:23.230;4.7;100;0.92;15;3.93;11.78;17.9;2.4;33;2.8;186.00;0.38;0.28;1865;3711;1;23.9;31.5;47.767795;-3.506381;14;187;6;-1024;233;-1;-1;1;-1;0x0000000000000002;7.7
14/11/2020;07:27:24.230;4.7;98;1.17;15;3.89;11.68;19.0;5.8;37;5.5;185.10;0.68;-0.02;1854;3711;10;27.6;38.3;47.767701;-3.506380;14;-133;4;-1024;230;-1;-1;1;-1;0x0000000000000002;7.7
