Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);0450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS;ASpd(kmh);Alt(m).1;Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V);GPS(lat);GPS(lon)
2021-01-28;23:33:14.840;5.0;100;0.98;15;3.74;11.23;0.9;0.0;484;-0.5;283.9;-0.17;-0.04;3324;3822;11;21.0;0.0;47.767796 -3.506491;8.8;0.0;-5;17;-1024;9;123;48;-1;0;1;-1;0x0000000000001C02;7.7;47.767796;-3.506491
2021-01-28;23:47:50.950;5.0;100;0.98;11;4.07;12.22;0.8;0.1;150;0.0;189.3;0.02;0.21;1792;3714;0;18.4;0.2;47.767895 -3.506408;12.0;0.0;-5;15;-1024;7;356;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767895;-3.506408
2021-01-28;23:47:51.960;5.0;100;0.98;15;4.07;12.22;0.8;0.1;150;0.0;192.4;-0.01;0.24;1792;3714;0;18.3;0.4;47.767896 -3.506411;11.8;0.0;-5;15;-320;7;359;50;-1;0;1;-1;0x0000000000001C02;7.8;47.767896;-3.506411
2021-01-28;23:47:52.960;5.0;100;1.0;15;4.07;12.22;0.8;0.1;151;0.0;201.5;-0.03;0.17;1792;3714;0;18.1;0.2;47.767896 -3.506411;12.2;0.0;-4;15;250;7;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767896;-3.506411
2021-01-28;23:47:53.970;5.0;100;0.99;15;4.07;12.22;0.9;0.2;151;0.0;203.1;-0.02;0.17;1792;3714;0;17.9;0.0;47.767898 -3.506413;11.6;0.0;-1;15;249;7;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767898;-3.506413
2021-01-28;23:47:55.000;5.0;100;1.0;15;4.07;12.22;0.8;0.2;151;0.0;208.0;-0.05;0.19;1792;3714;0;18.0;0.0;47.767900 -3.506413;13.1;0.0;-21;15;253;7;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767900;-3.506413
2021-01-28;23:47:56.040;5.0;100;0.96;15;4.07;12.22;0.9;0.2;151;0.1;237.0;0.05;0.32;1792;3714;0;18.0;0.9;47.767900 -3.506415;18.1;0.0;-4;15;247;7;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767900;-3.506415
2021-01-28;23:47:57.040;5.0;100;0.87;15;4.07;12.22;0.9;0.2;152;0.2;272.3;0.5;0.41;1635;3714;0;18.1;2.1;47.767898 -3.506413;12.0;0.0;-4;15;247;7;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767898;-3.506413
2021-01-28;23:47:58.040;5.0;100;0.87;15;4.07;12.22;0.9;0.2;152;0.2;272.3;0.5;0.41;1635;3714;0;18.1;2.1;47.767898 -3.506413;12.0;0.0;-4;-165;246;81;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767898;-3.506413
2021-01-28;23:47:59.040;5.0;100;0.87;15;4.07;12.22;0.9;0.2;152;0.2;272.3;0.5;0.41;1635;3714;0;18.1;2.1;47.767898 -3.506413;12.0;0.0;-4;-1008;243;1024;359;50;-1;0;1;-1;0x0000000000001C02;7.7;47.767898;-3.506413
