Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);ASpd(kmh);Alt(m);Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
28/01/2021;18:26:04.250;4.7;100;0.95;1;4.13;12.41;0.6;0.0;38;0.0;295.00;-0.03;-0.17;2688;3711;0;27.6;0.6;47.767775;-3.506356;12.4;0.0;-4;17;-1024;6;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:26:05.260;4.7;100;0.97;15;4.13;12.41;0.6;0.0;38;0.0;295.10;0.01;-0.17;2347;3711;0;27.7;2.2;47.767773;-3.506363;11.4;0.0;-4;17;-1024;6;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:26:06.310;4.7;100;0.97;15;4.13;12.41;0.6;0.0;38;0.0;296.70;0.01;-0.18;2346;3711;1;27.8;2.1;47.767770;-3.506368;11.4;0.0;-4;17;-1024;6;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:26:07.310;4.7;100;0.97;15;4.13;12.41;0.6;0.0;38;0.0;296.80;0.01;-0.16;2292;3711;1;27.9;0.1;47.767770;-3.506371;12.0;0.0;-4;17;-1024;6;115;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:26:08.340;4.7;100;0.97;15;4.13;12.41;0.6;0.0;39;0.0;297.90;0.00;-0.17;43;3711;0;27.9;0.8;47.767775;-3.506363;12.7;0.0;-4;17;-1024;6;115;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:26:09.380;4.7;100;0.97;15;4.13;12.41;0.6;0.1;39;0.0;298.40;0.02;-0.21;43;3711;0;27.9;0.3;47.767775;-3.506365;11.6;0.0;-4;17;-1024;6;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:26:39.250;4.7;100;0.87;2;4.13;12.40;0.7;0.5;44;-0.1;119.10;0.06;0.12;3513;3711;0;25.1;0.6;47.767831;-3.506368;15.7;0.0;-4;15;-1024;7;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:53.140;4.7;100;0.99;1;4.08;12.25;0.8;0.5;136;0.0;278.40;0.22;0.13;2254;3817;0;24.3;0.0;47.767776;-3.506406;12.5;0.0;-4;15;-1024;7;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:54.150;4.7;100;0.96;15;4.08;12.25;0.9;0.5;137;0.0;285.20;0.12;0.16;2254;3817;3;24.3;0.3;47.767776;-3.506408;12.5;0.0;-4;17;-1024;7;112;-1024;-1;-1;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:55.150;4.7;100;0.96;15;4.08;12.25;0.9;0.5;137;0.0;286.90;0.11;0.10;2254;3816;3;24.3;0.6;47.767776;-3.506408;10.3;0.0;-4;17;-1024;7;112;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:56.170;4.7;100;0.94;15;4.08;12.25;0.9;0.5;137;0.0;284.80;0.18;0.20;2254;3816;3;24.2;0.2;47.767776;-3.506408;12.0;0.0;-5;17;-1024;7;112;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:57.200;4.7;100;0.95;15;4.08;12.25;0.9;0.6;137;0.1;304.90;0.08;0.19;2254;3816;3;24.1;0.2;47.767776;-3.506410;13.1;0.0;-4;17;-82;6;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:58.200;4.7;100;0.87;15;4.08;12.25;0.9;0.6;138;0.1;342.70;0.05;0.35;2254;3816;4;24.1;0.4;47.767778;-3.506413;11.8;0.0;-4;17;10;6;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:32:59.200;4.7;100;0.94;15;4.08;12.25;0.9;0.7;138;0.0;49.70;0.14;0.15;2254;3816;4;24.2;1.3;47.767781;-3.506411;11.4;0.0;-4;17;10;7;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:33:00.200;4.7;100;0.92;15;4.08;12.25;0.9;0.7;138;0.0;33.80;0.03;0.18;2081;3817;4;23.6;0.1;47.767781;-3.506411;10.9;0.0;-2;17;10;7;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:33:01.200;4.7;100;0.97;15;4.08;12.25;0.9;0.7;138;0.0;28.90;-0.01;0.19;2081;3817;4;23.4;0.3;47.767781;-3.506413;11.1;0.0;-2;17;10;7;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:33:02.200;4.7;100;0.99;15;4.08;12.25;0.9;0.8;139;0.0;35.30;-0.02;0.19;2081;3817;4;23.4;1.0;47.767781;-3.506413;11.2;0.0;-2;17;10;6;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
28/01/2021;18:33:03.200;4.7;100;1.03;15;4.08;12.25;0.9;0.8;139;0.0;76.10;0.14;0.21;3272;3818;4;23.3;1.4;47.767778;-3.506411;11.4;0.0;-2;17;10;7;117;-1024;-1;0;1;-1;0x0000000000001C02;7.6
